model,family,lambda,run_seed,snr_db,loss,cls_loss,reg_loss,acc,tol1_acc,ang_mae_deg,fr,spikes_per_sample,synops_per_sample
ConvRecSNN,learned,0.3,274,-10,2.9568666553497316,2.9439434814453125,0.012923166751861573,0.20625,0.52625,24.74640235900879,0.04307722106575966,4639.93375,891206.85
FlatLIFSNN,learned,0.1,274,-10,2.797452239990234,2.7656365203857423,0.0318157123029232,0.1775,0.43125,24.382755966186522,0.31815711975097655,2687.79125,194458.16
CRNNBaseline,learned,0.0,274,-10,2.721433639526367,2.721433639526367,0.0,0.17625,0.48875,29.823114929199217,0.0,0.0,0.0
GCCPHATLSBaseline,classical,0.0,274,-10,0.0,0.0,0.0,0.135,0.355,36.78672744750977,0.0,0.0,0.0
ConvRecSNN,learned,0.3,274,-5,2.197619037628174,2.1833455181121826,0.014273542128503323,0.3975,0.7725,12.582981338500977,0.047578471899032596,5124.7725,985572.675
FlatLIFSNN,learned,0.1,274,-5,2.1979744720458982,2.164430227279663,0.033544257283210754,0.31,0.64625,12.997608184814453,0.3354425668716431,2833.81875,207689.825
CRNNBaseline,learned,0.0,274,-5,2.074810495376587,2.074810495376587,0.0,0.315,0.71625,12.175615997314454,0.0,0.0,0.0
GCCPHATLSBaseline,classical,0.0,274,-5,0.0,0.0,0.0,0.2775,0.64375,17.172649116516112,0.0,0.0,0.0
ConvRecSNN,learned,0.3,274,0,1.5400562810897827,1.5243027114868164,0.01575357235968113,0.59625,0.91,7.106284790039062,0.052511905282735825,5656.1625,1089581.575
FlatLIFSNN,learned,0.1,274,0,1.767472915649414,1.7324825525283813,0.03499038353562355,0.4625,0.83375,7.711528205871582,0.3499038314819336,2955.9875,219599.585
CRNNBaseline,learned,0.0,274,0,1.6788207864761353,1.6788207864761353,0.0,0.4575,0.85125,7.202833557128907,0.0,0.0,0.0
GCCPHATLSBaseline,classical,0.0,274,0,0.0,0.0,0.0,0.46375,0.8325,8.807232112884522,0.0,0.0,0.0
ConvRecSNN,learned,0.3,274,5,1.1351720190048218,1.1181241083145141,0.017047919780015946,0.75875,0.96375,4.076073513031006,0.0568263965845108,6120.885,1180781.7
FlatLIFSNN,learned,0.1,274,5,1.490447769165039,1.4542510843276977,0.0361966747045517,0.61375,0.9225,5.149385604858399,0.3619667434692383,3057.895,229941.59
CRNNBaseline,learned,0.0,274,5,1.4190029048919677,1.4190029048919677,0.0,0.5675,0.91,5.229602813720703,0.0,0.0,0.0
GCCPHATLSBaseline,classical,0.0,274,5,0.0,0.0,0.0,0.59375,0.92875,5.465945816040039,0.0,0.0,0.0
ConvRecSNN,learned,0.3,274,10,0.9242750072479248,0.9062394380569458,0.018035570830106734,0.83875,0.9875,2.7325883102416992,0.06011856719851494,6475.49125,1250569.75
FlatLIFSNN,learned,0.1,274,10,1.3015792179107666,1.2643791103363038,0.037200108915567395,0.705,0.9625,3.639508857727051,0.3720010781288147,3142.665,238632.105
CRNNBaseline,learned,0.0,274,10,1.2125747919082641,1.2125747919082641,0.0,0.64625,0.95125,4.06620267868042,0.0,0.0,0.0
GCCPHATLSBaseline,classical,0.0,274,10,0.0,0.0,0.0,0.66125,0.97625,4.069855842590332,0.0,0.0,0.0
ConvRecSNN,learned,0.3,274,15,0.8014257740974426,0.7827608823776245,0.018664891198277474,0.89125,0.99875,2.2122464084625246,0.06221630126237869,6701.4425,1295181.8
FlatLIFSNN,learned,0.1,274,15,1.1695582675933838,1.1315680074691772,0.03799026533961296,0.7775,0.98,2.8587848281860353,0.37990265011787416,3209.4175,245432.795
CRNNBaseline,learned,0.0,274,15,1.0468842554092408,1.0468842554092408,0.0,0.73,0.9725,3.213056468963623,0.0,0.0,0.0
GCCPHATLSBaseline,classical,0.0,274,15,0.0,0.0,0.0,0.71875,0.995,3.3373478507995604,0.0,0.0,0.0
ConvRecSNN,learned,0.3,274,20,0.7288694262504578,0.709928662776947,0.018940762281417847,0.93,1.0,1.8663628673553467,0.06313587158918381,6800.49125,1314987.305
FlatLIFSNN,learned,0.1,274,20,1.073612265586853,1.0350452089309692,0.03856705859303475,0.84625,0.99,2.2984086418151857,0.3856705856323242,3258.145,250410.32
CRNNBaseline,learned,0.0,274,20,0.9211710214614868,0.9211710214614868,0.0,0.795,0.9875,2.5899627876281737,0.0,0.0,0.0
GCCPHATLSBaseline,classical,0.0,274,20,0.0,0.0,0.0,0.7375,0.9975,3.0880037689208986,0.0,0.0,0.0
