model,model_key,family,lambda,run_seed,params,split,best_val_epoch,best_val_acc,best_val_ang_mae_deg,best_val_fr,best_val_synops_per_sample,loss,cls_loss,reg_loss,acc,tol1_acc,ang_mae_deg,fr,spikes_per_sample,synops_per_sample
CRNNBaseline,crnn,crnn,0.0,274,420388,clean,2,0.9625,1.3707618045806884,0.0,0.0,0.636411018371582,0.636411018371582,0.0,0.96,1.0,1.4167675399780273,0.0,0.0,0.0
CRNNBaseline,crnn,crnn,0.0,274,420388,noisy,2,0.9625,1.3707618045806884,0.0,0.0,1.1460681200027465,1.1460681200027465,0.0,0.68625,0.96625,3.4548176383972167,0.0,0.0,0.0
CRNNBaseline,crnn,crnn,0.0,275,420388,clean,3,0.97875,1.3432222175598145,0.0,0.0,0.5189433836936951,0.5189433836936951,0.0,0.97625,1.0,1.3682866954803468,0.0,0.0,0.0
CRNNBaseline,crnn,crnn,0.0,275,420388,noisy,3,0.97875,1.3432222175598145,0.0,0.0,1.2362032842636108,1.2362032842636108,0.0,0.62625,0.95375,4.554661903381348,0.0,0.0,0.0
CRNNBaseline,crnn,crnn,0.0,276,420388,clean,3,0.9725,1.471521520614624,0.0,0.0,0.5473132467269898,0.5473132467269898,0.0,0.97625,1.0,1.4496261501312255,0.0,0.0,0.0
CRNNBaseline,crnn,crnn,0.0,276,420388,noisy,3,0.9725,1.471521520614624,0.0,0.0,1.0581366109848023,1.0581366109848023,0.0,0.72625,0.96375,3.4404335021972656,0.0,0.0,0.0
ConvRecSNN,conv_snn,snn,0.0,274,198375,clean,5,0.9975,1.3508016300201415,0.055819231569767,1161621.255,0.4821396470069885,0.4821396470069885,0.0,1.0,1.0,1.3408071756362916,0.055979810506105426,6029.6975,1165010.92
ConvRecSNN,conv_snn,snn,0.03,274,198375,clean,4,0.99125,1.2517119884490966,0.05849225103855133,1215256.675,0.5274568462371826,0.5256935119628906,0.0017633267818018795,0.99125,1.0,1.2323761463165284,0.058777560740709306,6331.04875,1221195.71
ConvRecSNN,conv_snn,snn,0.1,274,198375,clean,3,0.97625,1.2853681087493896,0.055857470631599425,1161870.88,0.5738499450683594,0.5682440495491028,0.005605898052453995,0.97875,1.0,1.2334591579437255,0.056058980077505115,6038.225,1166071.22
ConvRecSNN,conv_snn,snn,0.3,274,198375,clean,2,0.95,1.25147789478302,0.05386537566781044,1119868.31,0.6916599845886231,0.6754478216171265,0.016212156414985655,0.95,1.0,1.2518116760253906,0.054040518701076505,5820.8125,1123568.975
ConvRecSNN,conv_snn,snn,1.0,274,198375,clean,3,0.96875,1.268105878829956,0.05304715171456337,1103615.155,0.6359879922866821,0.5827901268005371,0.05319786712527275,0.975,1.0,1.1900083541870117,0.05319786712527275,5730.04875,1106797.46
ConvRecSNN,conv_snn,snn,0.0,274,198375,noisy,5,0.9975,1.3508016300201415,0.055819231569767,1161621.255,0.8741971063613891,0.8741971063613891,0.0,0.85,0.98875,2.511261472702026,0.06039394244551659,6505.1525,1256520.845
ConvRecSNN,conv_snn,snn,0.03,274,198375,noisy,4,0.99125,1.2517119884490966,0.05849225103855133,1215256.675,0.9475329089164733,0.9456218004226684,0.0019111167313531042,0.825,0.99125,2.7571710681915285,0.06370389223098755,6861.67375,1323951.85
ConvRecSNN,conv_snn,snn,0.1,274,198375,noisy,3,0.97625,1.2853681087493896,0.055857470631599425,1161870.88,1.0048180174827577,0.9987575125694275,0.006060514319688082,0.805,0.99125,2.780755252838135,0.060605142116546634,6527.90125,1260620.685
ConvRecSNN,conv_snn,snn,0.3,274,198375,noisy,2,0.95,1.25147789478302,0.05386537566781044,1119868.31,1.123577914237976,1.1063012647628785,0.017276651263237,0.765,0.9875,2.8618186569213866,0.05758883520960808,6203.00875,1197375.2
ConvRecSNN,conv_snn,snn,1.0,274,198375,noisy,3,0.96875,1.268105878829956,0.05304715171456337,1103615.155,1.0603069114685058,1.0014430952072144,0.058863808810710905,0.81125,0.99125,2.612504367828369,0.058863808810710905,6340.33875,1224129.96
ConvRecSNN,conv_snn,snn,0.0,275,198375,clean,3,0.98625,1.3155141592025756,0.04996671557426453,1039172.885,0.5598494291305542,0.5598494291305542,0.0,0.97875,1.0,1.2596836185455322,0.04991284474730492,5376.2125,1038084.115
ConvRecSNN,conv_snn,snn,0.03,275,198375,clean,4,0.9925,1.3585941171646119,0.05030897065997124,1046661.555,0.5026034998893738,0.5010951519012451,0.0015083472058176994,0.99375,1.0,1.300271863937378,0.050278240740299227,5415.57,1046055.685
ConvRecSNN,conv_snn,snn,0.1,275,198375,clean,4,0.98375,1.3773149585723876,0.05041298672556877,1048870.54,0.524862015247345,0.5198256850242615,0.0050363318622112276,0.97875,1.0,1.329102931022644,0.05036331757903099,5424.73375,1047843.835
ConvRecSNN,conv_snn,snn,0.3,275,198375,clean,3,0.97375,1.3144789838790893,0.047679366767406466,990729.27,0.5943868279457092,0.5800956726074219,0.014291158653795719,0.965,1.0,1.2991047763824464,0.04763719335198403,5131.0975,989870.07
ConvRecSNN,conv_snn,snn,1.0,275,198375,clean,3,0.97,1.3222616147994994,0.049663743674755095,1032763.35,0.6390252113342285,0.5894204235076904,0.049604789912700654,0.9675,1.0,1.3037859439849853,0.049604789912700654,5343.03125,1031516.7
ConvRecSNN,conv_snn,snn,0.0,275,198375,noisy,3,0.98625,1.3155141592025756,0.04996671557426453,1039172.885,1.0676822566986084,1.0676822566986084,0.0,0.76125,0.98875,2.8844328498840333,0.054961458593606946,5920.00875,1142851.85
ConvRecSNN,conv_snn,snn,0.03,275,198375,noisy,4,0.9925,1.3585941171646119,0.05030897065997124,1046661.555,0.9094573187828064,0.9077817583084107,0.001675556991249323,0.85875,0.995,2.5087144947052002,0.05585190042853355,6015.92,1161592.9
ConvRecSNN,conv_snn,snn,0.1,275,198375,noisy,4,0.98375,1.3773149585723876,0.05041298672556877,1048870.54,0.9612381863594055,0.9556332492828369,0.0056049244105815885,0.805,0.99375,2.7390819931030275,0.056049243211746216,6037.17625,1165931.07
ConvRecSNN,conv_snn,snn,0.3,275,198375,noisy,3,0.97375,1.3144789838790893,0.047679366767406466,990729.27,1.0506522679328918,1.034691767692566,0.015960506200790404,0.80625,0.99,2.6464176750183106,0.05320168450474739,5730.46,1105410.5
ConvRecSNN,conv_snn,snn,1.0,275,198375,noisy,3,0.97,1.3222616147994994,0.049663743674755095,1032763.35,1.13900146484375,1.0834871816635132,0.05551427468657494,0.76625,0.985,2.932443952560425,0.05551427468657494,5979.55375,1153964.84
ConvRecSNN,conv_snn,snn,0.0,276,198375,clean,3,0.97,1.2162061786651612,0.055369363278150556,1151458.04,0.5857083964347839,0.5857083964347839,0.0,0.98125,1.0,1.1905153274536133,0.05544972762465477,5972.60125,1153145.59
ConvRecSNN,conv_snn,snn,0.03,276,198375,clean,4,0.975,1.3320198345184326,0.05577219665050506,1161894.23,0.5506511807441712,0.5489755058288575,0.0016756774252280593,0.97375,1.0,1.3712594604492188,0.055855915695428845,6016.3525,1163654.565
ConvRecSNN,conv_snn,snn,0.1,276,198375,clean,3,0.97125,1.356513156890869,0.053215935677289966,1107226.205,0.5929128456115723,0.587589168548584,0.005323683731257915,0.96625,1.0,1.3538851070404052,0.05323683619499207,5734.24625,1107654.015
ConvRecSNN,conv_snn,snn,0.3,276,198375,clean,4,0.98875,1.2460789918899535,0.052057034969329834,1083389.595,0.5325603246688843,0.5169261574745179,0.015634167045354842,0.98625,1.0,1.2203698062896728,0.052113887965679166,5613.29125,1084567.535
ConvRecSNN,conv_snn,snn,1.0,276,198375,clean,6,0.99875,1.2992322540283203,0.05397468388080597,1123237.08,0.5449403381347656,0.49087491512298587,0.05406542345881462,0.9975,1.0,1.2975395393371583,0.05406542345881462,5823.495,1125102.87
ConvRecSNN,conv_snn,snn,0.0,276,198375,noisy,3,0.97,1.2162061786651612,0.055369363278150556,1151458.04,1.0312964487075806,1.0312964487075806,0.0,0.78125,0.995,2.6786114501953127,0.059872761517763134,6449.015,1244981.075
ConvRecSNN,conv_snn,snn,0.03,276,198375,noisy,4,0.975,1.3320198345184326,0.05577219665050506,1161894.23,0.8998257422447205,0.8979364681243897,0.001889272341504693,0.85,0.99875,2.510436897277832,0.06297574609518052,6783.24375,1311588.975
ConvRecSNN,conv_snn,snn,0.1,276,198375,noisy,3,0.97125,1.356513156890869,0.053215935677289966,1107226.205,1.0352971315383912,1.0294862222671508,0.005810919310897588,0.80125,0.995,2.974496364593506,0.05810919299721718,6259.0575,1208740.545
ConvRecSNN,conv_snn,snn,0.3,276,198375,noisy,4,0.98875,1.2460789918899535,0.052057034969329834,1083389.595,0.9200832080841065,0.9025928497314453,0.017490349933505057,0.8325,0.99375,2.3299371910095217,0.058301162868738175,6279.735,1212877.255
ConvRecSNN,conv_snn,snn,1.0,276,198375,noisy,6,0.99875,1.2992322540283203,0.05397468388080597,1123237.08,0.8639845848083496,0.8023141574859619,0.06167042523622513,0.89125,0.99625,2.2846336460113523,0.06167042523622513,6642.645,1283018.585
FlatLIFSNN,flat_snn,snn,0.0,274,99492,clean,3,0.9975,1.3492729568481445,0.4221511137485504,276598.245,0.6205871343612671,0.6205871343612671,0.0,0.99625,1.0,1.3221321487426758,0.42303964018821716,3573.83875,277329.505
FlatLIFSNN,flat_snn,snn,0.03,274,99492,clean,2,0.98,1.2852380895614623,0.41155733704566955,268162.165,0.8055132412910462,0.7931322908401489,0.012380952760577203,0.98,1.0,1.2147756385803223,0.412698438167572,3486.47625,269121.58
FlatLIFSNN,flat_snn,snn,0.1,274,99492,clean,2,0.9675,1.2170368003845216,0.4005143344402313,263038.66,0.8388527226448059,0.7986670875549317,0.040185637623071674,0.975,1.0,1.1547760963439941,0.401856369972229,3394.8825,263960.86
FlatLIFSNN,flat_snn,snn,0.3,274,99492,clean,2,0.98625,1.3364140892028809,0.3698063278198242,244017.185,0.9202285718917846,0.8089405155181885,0.1112880489230156,0.98,1.0,1.3241037654876708,0.3709601497650146,3133.87125,244868.69
FlatLIFSNN,flat_snn,snn,1.0,274,99492,clean,3,0.9825,1.270173978805542,0.2841540956497192,187189.69,0.9312620687484742,0.6456037735939026,0.285658301115036,0.99,1.0,1.2747913360595704,0.285658301115036,2413.24125,188320.83
FlatLIFSNN,flat_snn,snn,0.0,274,99492,noisy,3,0.9975,1.3492729568481445,0.4221511137485504,276598.245,1.1269051051139831,1.1269051051139831,0.0,0.74625,0.9675,3.6774518489837646,0.4032975387573242,3407.0575,258603.85
FlatLIFSNN,flat_snn,snn,0.03,274,99492,noisy,2,0.98,1.2852380895614623,0.41155733704566955,268162.165,1.2672202205657959,1.2554956483840942,0.011724569536745548,0.71875,0.965,3.6103594493865967,0.39081899166107176,3301.63875,249930.475
FlatLIFSNN,flat_snn,snn,0.1,274,99492,noisy,2,0.9675,1.2170368003845216,0.4005143344402313,263038.66,1.2474303340911865,1.2097092628479005,0.037721074968576435,0.73,0.975,3.488201160430908,0.3772107410430908,3186.67625,242699.935
FlatLIFSNN,flat_snn,snn,0.3,274,99492,noisy,2,0.98625,1.3364140892028809,0.3698063278198242,244017.185,1.3222916793823243,1.2204442739486694,0.10184739887714386,0.75875,0.97875,3.308245143890381,0.3394913113117218,2868.0225,218363.58
FlatLIFSNN,flat_snn,snn,1.0,274,99492,noisy,3,0.9825,1.270173978805542,0.2841540956497192,187189.69,1.2982794809341431,1.0539083170890808,0.24437115907669069,0.7775,0.99,2.7620365524291994,0.24437115907669069,2064.4475,153549.36
FlatLIFSNN,flat_snn,snn,0.0,275,99492,clean,2,0.98,1.3882705545425416,0.41898867845535276,275789.41,0.8423522973060608,0.8423522973060608,0.0,0.96625,1.0,1.3096062660217285,0.4189635241031647,3539.40375,275823.505
FlatLIFSNN,flat_snn,snn,0.03,275,99492,clean,3,0.9875,1.377982325553894,0.4221771550178528,279825.015,0.6624577569961548,0.6497847199440002,0.012673033513128757,0.985,1.0,1.343612699508667,0.42243446469306944,3568.72625,280113.72
FlatLIFSNN,flat_snn,snn,0.1,275,99492,clean,3,0.99875,1.3443739128112793,0.4050371503829956,267199.935,0.6556223678588867,0.6150773119926453,0.04054505735635758,0.995,1.0,1.3135810470581055,0.40545056462287904,3425.24625,267610.635
FlatLIFSNN,flat_snn,snn,0.3,275,99492,clean,3,0.99375,1.3427643775939941,0.3694043076038361,249450.685,0.7629336214065552,0.6520975351333618,0.11083607971668244,0.99875,1.0,1.3095196342468263,0.369453581571579,3121.14375,249610.225
FlatLIFSNN,flat_snn,snn,1.0,275,99492,clean,3,0.995,1.345688304901123,0.27928534269332883,191368.92,0.9553342294692994,0.6756905245780945,0.27964370846748354,0.99875,1.0,1.3274743890762328,0.27964370846748354,2362.43,191667.085
FlatLIFSNN,flat_snn,snn,0.0,275,99492,noisy,2,0.98,1.3882705545425416,0.41898867845535276,275789.41,1.2656365442276,1.2656365442276,0.0,0.70625,0.97125,4.042808856964111,0.40350512862205506,3408.81125,261880.085
FlatLIFSNN,flat_snn,snn,0.03,275,99492,noisy,3,0.9875,1.377982325553894,0.4221771550178528,279825.015,1.0847924947738647,1.0726764297485352,0.012116064466536045,0.78,0.98875,3.0857428169250487,0.4038688278198242,3411.88375,263298.82
FlatLIFSNN,flat_snn,snn,0.1,275,99492,noisy,3,0.99875,1.3443739128112793,0.4050371503829956,267199.935,1.1743769311904908,1.136487784385681,0.037889132052659986,0.72,0.97875,3.7915562629699706,0.37889131903648376,3200.87375,244504.91
FlatLIFSNN,flat_snn,snn,0.3,275,99492,noisy,3,0.99375,1.3427643775939941,0.3694043076038361,249450.685,1.2190554428100586,1.1185572910308839,0.10049814283847809,0.76125,0.9775,3.255728759765625,0.334993793964386,2830.0275,219879.385
FlatLIFSNN,flat_snn,snn,1.0,275,99492,noisy,3,0.995,1.345688304901123,0.27928534269332883,191368.92,1.2720707511901856,1.0305267429351808,0.24154401183128357,0.81625,0.9925,2.6167058181762695,0.24154401183128357,2040.56375,157765.99
FlatLIFSNN,flat_snn,snn,0.0,276,99492,clean,3,0.9975,1.4043726539611816,0.41470882058143616,275011.495,0.6254933261871338,0.6254933261871338,0.0,0.99625,1.0,1.3700592041015625,0.4152431154251099,3507.97375,275426.415
FlatLIFSNN,flat_snn,snn,0.03,276,99492,clean,3,0.9975,1.399771032333374,0.4060684633255005,264751.745,0.6438209557533264,0.6316260170936584,0.012194935120642186,0.99625,1.0,1.3872125244140625,0.40649785041809083,3434.09375,265000.9
FlatLIFSNN,flat_snn,snn,0.1,276,99492,clean,2,0.98,1.3142366123199463,0.3932513701915741,257092.75,0.8391602230072022,0.7997777700424195,0.03938244462013245,0.98625,1.0,1.2816533470153808,0.3938244378566742,3327.02875,257446.665
FlatLIFSNN,flat_snn,snn,0.3,276,99492,clean,2,0.98125,1.2156395292282105,0.36526249766349794,241875.015,0.890164589881897,0.7804023742675781,0.10976221382617951,0.97875,1.0,1.243043565750122,0.36587403535842894,3090.90375,242422.56
FlatLIFSNN,flat_snn,snn,1.0,276,99492,clean,3,0.9975,1.2931662797927856,0.28057618021965025,187180.935,0.9305147647857666,0.6495007538795471,0.2810140073299408,0.99,1.0,1.27704815864563,0.2810140073299408,2374.00625,187560.19
FlatLIFSNN,flat_snn,snn,0.0,276,99492,noisy,3,0.9975,1.4043726539611816,0.41470882058143616,275011.495,1.0784563255310058,1.0784563255310058,0.0,0.78375,0.97625,2.988327646255493,0.3937282633781433,3326.21625,256326.295
FlatLIFSNN,flat_snn,snn,0.03,276,99492,noisy,3,0.9975,1.399771032333374,0.4060684633255005,264751.745,1.0939438486099242,1.0824227237701416,0.011521142683923244,0.7725,0.9775,3.139410095214844,0.38403809785842896,3244.35375,246716.72
FlatLIFSNN,flat_snn,snn,0.1,276,99492,noisy,2,0.98,1.3142366123199463,0.3932513701915741,257092.75,1.247375249862671,1.2102849912643432,0.03709026023745537,0.77625,0.97375,3.604944133758545,0.37090259075164794,3133.385,238169.915
FlatLIFSNN,flat_snn,snn,0.3,276,99492,noisy,2,0.98125,1.2156395292282105,0.36526249766349794,241875.015,1.3755395221710205,1.2761237668991088,0.09941575676202774,0.685,0.95625,4.297496452331543,0.3313858425617218,2799.5475,212302.43
FlatLIFSNN,flat_snn,snn,1.0,276,99492,noisy,3,0.9975,1.2931662797927856,0.28057618021965025,187180.935,1.2907868814468384,1.0497974586486816,0.24098943889141083,0.80625,0.975,2.783046703338623,0.24098943889141083,2035.87875,154603.075
GCCPHATLSBaseline,gccphat_ls,classical,0.0,274,0,clean,0,0.7225,2.8220982933044434,0.0,0.0,0.0,0.0,0.0,0.71875,1.0,2.834616460800171,0.0,0.0,0.0
GCCPHATLSBaseline,gccphat_ls,classical,0.0,274,0,noisy,0,0.7225,2.8220982933044434,0.0,0.0,0.0,0.0,0.0,0.6825,0.98375,3.7543741035461426,0.0,0.0,0.0
GCCPHATLSBaseline,gccphat_ls,classical,0.0,275,0,clean,0,0.73625,2.793111801147461,0.0,0.0,0.0,0.0,0.0,0.725,1.0,2.793742256164551,0.0,0.0,0.0
GCCPHATLSBaseline,gccphat_ls,classical,0.0,275,0,noisy,0,0.73625,2.793111801147461,0.0,0.0,0.0,0.0,0.0,0.69375,0.98,3.861970958709717,0.0,0.0,0.0
GCCPHATLSBaseline,gccphat_ls,classical,0.0,276,0,clean,0,0.72625,2.8699691772460936,0.0,0.0,0.0,0.0,0.0,0.74875,1.0,2.7271993827819823,0.0,0.0,0.0
GCCPHATLSBaseline,gccphat_ls,classical,0.0,276,0,noisy,0,0.72625,2.8699691772460936,0.0,0.0,0.0,0.0,0.0,0.6725,0.98,3.9868655014038086,0.0,0.0,0.0
